sample,fastq_1,fastq_2
N2L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2L/WK-3861-N2L_S961_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2L/WK-3861-N2L_S961_L006_R2_001.fastq.gz
N2SP,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2SP/WK-3861-N2SP_S1000_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2SP/WK-3861-N2SP_S1000_L006_R2_001.fastq.gz
N2S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2S/WK-3861-N2S_S973_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N2S/WK-3861-N2S_S973_L006_R2_001.fastq.gz
N3L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3L/WK-3861-N3L_S962_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3L/WK-3861-N3L_S962_L006_R2_001.fastq.gz
N3SP,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3SP/WK-3861-N3SP_S1001_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3SP/WK-3861-N3SP_S1001_L006_R2_001.fastq.gz
N3S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3S/WK-3861-N3S_S974_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N3S/WK-3861-N3S_S974_L006_R2_001.fastq.gz
N4L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4L/WK-3861-N4L_S963_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4L/WK-3861-N4L_S963_L006_R2_001.fastq.gz
N4SP,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4SP/WK-3861-N4SP_S1002_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4SP/WK-3861-N4SP_S1002_L006_R2_001.fastq.gz
N4S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4S/WK-3861-N4S_S975_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-N4S/WK-3861-N4S_S975_L006_R2_001.fastq.gz
NE3L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE3L/WK-3861-NE3L_S967_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE3L/WK-3861-NE3L_S967_L006_R2_001.fastq.gz
NE3S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE3S/WK-3861-NE3S_S979_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE3S/WK-3861-NE3S_S979_L006_R2_001.fastq.gz
NE4L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE4L/WK-3861-NE4L_S968_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE4L/WK-3861-NE4L_S968_L006_R2_001.fastq.gz
NE4SP,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE4SP/WK-3861-NE4SP_S1005_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE4SP/WK-3861-NE4SP_S1005_L006_R2_001.fastq.gz
NE4S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE4S/WK-3861-NE4S_S980_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE4S/WK-3861-NE4S_S980_L006_R2_001.fastq.gz
NE5L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE5L/WK-3861-NE5L_S969_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE5L/WK-3861-NE5L_S969_L006_R2_001.fastq.gz
NE5S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE5S/WK-3861-NE5S_S981_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NE5S/WK-3861-NE5S_S981_L006_R2_001.fastq.gz
NW3L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW3L/WK-3861-NW3L_S970_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW3L/WK-3861-NW3L_S970_L006_R2_001.fastq.gz
NW3SP,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW3SP/WK-3861-NW3SP_S1006_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW3SP/WK-3861-NW3SP_S1006_L006_R2_001.fastq.gz
NW3S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW3S/WK-3861-NW3S_S982_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW3S/WK-3861-NW3S_S982_L006_R2_001.fastq.gz
NW4L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW4L/WK-3861-NW4L_S971_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW4L/WK-3861-NW4L_S971_L006_R2_001.fastq.gz
NW4S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW4S/WK-3861-NW4S_S983_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW4S/WK-3861-NW4S_S983_L006_R2_001.fastq.gz
NW5L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW5L/WK-3861-NW5L_S972_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW5L/WK-3861-NW5L_S972_L006_R2_001.fastq.gz
NW5SP,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW5SP/WK-3861-NW5SP_S1007_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW5SP/WK-3861-NW5SP_S1007_L006_R2_001.fastq.gz
NW5S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW5S/WK-3861-NW5S_S984_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-NW5S/WK-3861-NW5S_S984_L006_R2_001.fastq.gz
W3L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W3L/WK-3861-W3L_S964_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W3L/WK-3861-W3L_S964_L006_R2_001.fastq.gz
W3SP,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W3SP/WK-3861-W3SP_S1003_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W3SP/WK-3861-W3SP_S1003_L006_R2_001.fastq.gz
W3S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W3S/WK-3861-W3S_S976_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W3S/WK-3861-W3S_S976_L006_R2_001.fastq.gz
W4L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W4L/WK-3861-W4L_S965_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W4L/WK-3861-W4L_S965_L006_R2_001.fastq.gz
W4S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W4S/WK-3861-W4S_S977_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W4S/WK-3861-W4S_S977_L006_R2_001.fastq.gz
W5L,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W5L/WK-3861-W5L_S966_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W5L/WK-3861-W5L_S966_L006_R2_001.fastq.gz
W5SP,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W5SP/WK-3861-W5SP_S1004_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W5SP/WK-3861-W5SP_S1004_L006_R2_001.fastq.gz
W5S,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W5S/WK-3861-W5S_S978_L006_R1_001.fastq.gz,reads/20240614_LH00179_0095_B22MKMLLT3/Sample_WK-3861-W5S/WK-3861-W5S_S978_L006_R2_001.fastq.gz
